...1,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error
62,62,11.995888750022946,15.12113165130078,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.44558,64.34523
63,63,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3379888798219989,0.8958273137784272,66.97492,64.34523
64,64,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,64.12936,64.12936
65,65,12.868108143782884,15.643070079965316,16.115744111941382,0.4358521043299739,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.95672,64.12936
66,66,12.868108143782884,15.643070079965316,16.115744111941382,0.5776508727672255,0.4572897882727304,0.35174578637548914,0.8958273137784272,70.72107,64.12936
67,67,12.868108143782884,15.643070079965316,15.849511422183594,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.74001,64.12936
68,68,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4333645408909952,0.35174578637548914,0.8958273137784272,69.10798,64.12936
69,69,12.868108143782884,15.643070079965316,16.115744111941382,0.4059756107513851,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.8144,64.12936
70,70,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.840603915178481,68.79514,64.12936
71,71,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.9910295897404452,64.86257,64.12936
72,72,13.04977804394125,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.77722,64.12936
73,73,12.868108143782884,15.643070079965316,16.22905670327698,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.42501,64.12936
74,74,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4391326465825498,0.35174578637548914,0.8958273137784272,68.23811,64.12936
75,75,12.49692590420473,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.50285,64.12936
76,76,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.9318230090710652,64.43872,64.12936
77,77,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3653854389942473,0.8958273137784272,70.30559,64.12936
78,78,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.47388857161331965,0.35174578637548914,0.8958273137784272,66.62148,64.12936
79,79,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.73432,64.12936
80,80,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3844685923000856,0.8958273137784272,70.41286,64.12936
81,81,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3757704800242686,0.8958273137784272,68.4046,64.12936
82,82,12.868108143782884,15.898939073073285,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.25998,64.12936
83,83,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.34190581674593507,0.8958273137784272,66.95773,64.12936
84,84,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8949320060989696,66.84468,64.12936
85,85,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.34275927587077215,0.8958273137784272,65.95368,64.12936
86,86,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3604133097454562,0.8958273137784272,67.54148,64.12936
87,87,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3633362739332556,0.8958273137784272,68.64923,64.12936
88,88,12.868108143782884,15.643070079965316,15.590883128462316,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.23752,64.12936
89,89,12.868108143782884,15.643070079965316,16.115744111941382,0.5449875374847977,0.4572897882727304,0.35174578637548914,0.8958273137784272,70.20135,64.12936
90,90,12.868108143782884,15.643070079965316,15.816873505445582,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.63257,64.12936
91,91,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.3427684959688081,0.35174578637548914,0.8958273137784272,68.21882,64.12936
92,92,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.3929996344475792,0.35174578637548914,0.8958273137784272,66.62885,64.12936
93,93,12.868108143782884,16.046542108230568,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.08947,64.12936
94,94,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.41645970285721245,0.35174578637548914,0.8958273137784272,68.6497,64.12936
95,95,12.868108143782884,15.643070079965316,16.115744111941382,0.448404967398139,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.91476,64.12936
96,96,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3236910652872863,0.8958273137784272,67.65044,64.12936
97,97,12.868108143782884,16.74452616394361,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,71.58634,64.12936
98,98,12.502234860246284,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.97185,64.12936
99,99,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3259479602886476,0.8958273137784272,70.47563,64.12936
100,100,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3012080683079364,0.8958273137784272,68.41927,64.12936
101,101,12.868108143782884,15.643070079965316,16.061233223536252,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.7764,64.12936
102,102,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.49604081900899455,0.35174578637548914,0.8958273137784272,70.78973,64.12936
103,103,12.868108143782884,15.643070079965316,16.455363568605772,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.63485,64.12936
104,104,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3530283142367342,0.8958273137784272,66.57952,64.12936
105,105,12.868108143782884,15.643070079965316,14.9619468427111,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.4942,64.12936
106,106,12.868108143782884,15.643070079965316,16.90463816891924,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.63022,64.12936
107,107,12.868108143782884,15.643070079965316,16.198172137810577,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.09129,64.12936
108,108,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.36682078391254946,0.8958273137784272,66.10996,64.12936
109,109,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3710163874999948,0.8958273137784272,68.18411,64.12936
110,110,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8317322430200516,71.22232,64.12936
111,111,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.5063106995202933,0.35174578637548914,0.8958273137784272,69.58848,64.12936
112,112,12.868108143782884,15.643070079965316,16.115744111941382,0.4297922326083683,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.62223,64.12936
