,gen,pA,pB,pD,error
37,37.0,689298513486.061,23813.08379365114,35225.40483932672,9.427274008823591
38,38.0,689298513486.061,23828.133200917462,35225.40483932672,9.427274008823591
39,39.0,689298513486.061,23835.386693676322,35225.40483932672,9.427274008823591
40,40.0,689298513486.061,23868.340799897967,35225.40483932672,9.427274008823591
41,41.0,689298513486.061,23906.767879755404,35225.40483932672,9.427274008823591
42,42.0,689298513486.061,23915.413727305127,35225.40483932672,9.427274008823591
43,43.0,689298513486.061,24294.690244755137,35225.40483932672,9.427274008823591
44,44.0,689298513486.061,24900.000881070817,35225.40483932672,9.427274008823591
45,45.0,689298513486.061,24903.65338562327,35225.40483932672,9.427274008823591
46,46.0,689298513486.061,24995.30864734094,35225.40483932672,9.427274008823591
47,47.0,689298513486.061,25777.51189398385,35225.40483932672,9.427274008823591
48,48.0,689298513486.061,25813.37618558759,35225.40483932672,9.427274008823591
49,49.0,689298513486.061,25831.067998247247,35225.40483932672,9.427274008823591
50,50.0,689298513565.346,28812.025985288976,35225.40483932672,9.427274008823591
51,51.0,689298513583.5186,28812.025985288976,35225.40483932672,9.427274008823591
52,52.0,689298513610.1858,28812.025985288976,35225.40483932672,9.427274008823591
53,53.0,689298513646.3955,28812.025985288976,35225.40483932672,9.427274008823591
54,54.0,689298514499.0315,28812.025985288976,35225.40483932672,9.427274008823591
55,55.0,689298514742.7443,28812.025985288976,35225.40483932672,9.427274008823591
56,56.0,689298514783.4816,28812.025985288976,35225.40483932672,9.427274008823591
57,57.0,689298515586.4316,28812.025985288976,35225.40483932672,9.427274008823591
58,58.0,689298515620.3853,28812.025985288976,35225.40483932672,9.427274008823591
59,59.0,689298515715.4568,28812.025985288976,35225.40483932672,9.427274008823591
60,60.0,689298517600.6558,28812.025985288976,35225.40483932672,9.427274008823591
61,61.0,689298517721.6908,28812.025985288976,35225.40483932672,9.427274008823591
62,62.0,689298518017.6569,28812.025985288976,35225.40483932672,9.427274008823591
63,63.0,689298518090.7084,28812.025985288976,35225.40483932672,9.427274008823591
64,64.0,689298518251.3824,28812.025985288976,35225.40483932672,9.427274008823591
65,65.0,689298518900.0458,28812.025985288976,35225.40483932672,9.427274008823591
66,66.0,689298527003.1298,28821.47908048463,35225.40483932672,9.427274008823591
67,67.0,689298527003.1298,28836.64503194502,35225.40483932672,9.427274008823591
68,68.0,689298527003.1298,28849.03181362273,35225.40483932672,9.427274008823591
69,69.0,689298527003.1298,28850.953872056092,35225.40483932672,9.427274008823591
70,70.0,689298527003.1298,31831.91185909782,35242.6436175479,9.427274008823591
71,71.0,689298527003.1298,31831.91185909782,35286.48646902321,9.427274008823591
72,72.0,689298527003.1298,31831.91185909782,35840.08895805235,9.427274008823591
73,73.0,689298527003.1298,31831.91185909782,37607.11852740051,9.427274008823591
74,74.0,689298527003.1298,31838.073494444507,59633.58432220723,9.427274008823591
75,75.0,689298527003.1298,31887.6856790913,59633.58432220723,9.427274008823591
76,76.0,689298527003.1298,31906.16089107277,59633.58432220723,9.427274008823591
77,77.0,689298527003.1298,31920.09677168058,59633.58432220723,9.427274008823591
78,78.0,689298527013.1201,34901.054758722305,59633.58432220723,9.427274008823591
79,79.0,689298527107.5924,34901.054758722305,59633.58432220723,9.427274008823591
80,80.0,689298527712.451,34901.054758722305,59633.58432220723,9.427274008823591
81,81.0,689298527729.8551,34901.054758722305,59633.58432220723,9.427274008823591
82,82.0,689298535832.9391,35207.50825838325,59633.58432220723,9.427274008823591
83,83.0,689298535832.9391,35282.82523046454,59633.58432220723,9.427274008823591
