,gen,pA,pB,pD,error
128,128.0,187812.7665576342,724830289246825.8,2589487740.888235,23.84394
129,129.0,195143.1980472639,724830289246825.8,2589487740.888235,23.84394
130,130.0,188840.78515050904,724830289246825.8,2589487740.888235,23.84394
131,131.0,188125.8378628739,724830289246825.8,2589487740.888235,23.84394
132,132.0,210152.3036576806,724830289246825.8,2589496041.7663064,25.49776
133,133.0,210152.3036576806,724830289246825.8,2589493867.903065,25.49776
134,134.0,210152.3036576806,724830289246825.8,2589475256.933604,25.49776
135,135.0,210152.3036576806,724830289246825.8,2589475959.168222,25.49776
136,136.0,210152.3036576806,724830289246825.8,2589483895.7559605,25.49776
137,137.0,210451.59731773174,724830289246825.8,2589543769.8976755,25.49776
138,138.0,212167.40197092414,724830289246825.8,2589543769.8976755,25.49776
139,139.0,223242.06120724606,724830289246825.8,2589543769.8976755,25.49776
140,140.0,230075.1705874217,724830289246825.8,2589543769.8976755,25.49776
141,141.0,252101.6363822284,724830289246825.8,2589543769.8976755,18.93878
142,142.0,252101.6363822284,724830289246825.8,2589543037.2143874,18.93878
143,143.0,252101.6363822284,724830289246825.8,2589546421.8916445,18.93878
144,144.0,252101.6363822284,724830289246825.8,2589569656.4176874,18.93878
145,145.0,252101.6363822284,724830289246825.8,2589579006.7330346,18.93878
146,146.0,252101.6363822284,724830289246825.8,2589586178.2823606,18.93878
147,147.0,252101.6363822284,724830289246825.8,2589605328.5059857,18.93878
148,148.0,252101.6363822284,724830289246825.8,2589601109.922462,18.93878
149,149.0,252101.6363822284,724830289246825.8,2589600556.6188316,18.93878
150,150.0,252101.6363822284,724830289246825.8,2589584333.750174,18.93878
151,151.0,252101.6363822284,724830289246825.8,2589593203.4394164,18.93878
152,152.0,252101.6363822284,724830289246825.8,2589577978.9988623,18.93878
153,153.0,252101.6363822284,724830289246825.8,2589606632.9553423,18.93878
154,154.0,252101.6363822284,724830289246825.8,2589598687.036283,18.93878
155,155.0,252101.6363822284,724830289246825.8,2589593564.4808693,18.93878
156,156.0,252101.6363822284,724830289246825.8,2589600149.69061,18.93878
157,157.0,274128.1021770351,724830289246825.8,2589660023.832325,16.79352
158,158.0,276870.97753287584,724830289246825.8,2589660023.832325,16.79352
159,159.0,275227.08035698556,724830289246825.8,2589660023.832325,16.79352
160,160.0,275689.69651170366,724830289246825.8,2589660023.832325,16.79352
161,161.0,270568.10828592686,724830289246825.8,2589660023.832325,16.79352
162,162.0,264917.60872099845,724830289246825.8,2589660023.832325,16.79352
163,163.0,286944.0745158052,724830289246825.8,2589670428.4930434,29.08128
164,164.0,286944.0745158052,724830289246825.8,2589667149.300407,29.08128
165,165.0,286944.0745158052,724830289246825.8,2589646094.8762054,29.08128
166,166.0,286944.0745158052,724830289246825.8,2589635297.8123507,29.08128
167,167.0,286944.0745158052,724830289246825.8,2589636006.61454,29.08128
168,168.0,308970.5403106119,724830289246825.8,2589695880.756255,14.89893
169,169.0,305431.5930763225,724830289246825.8,2589695880.756255,14.89893
170,170.0,309953.309614304,724830289246825.8,2589695880.756255,14.89893
171,171.0,305742.5244110089,724830289246825.8,2589695880.756255,14.89893
172,172.0,302753.3750207954,724830289246825.8,2589695880.756255,14.89893
173,173.0,299764.4824698825,724830289246825.8,2589695880.756255,14.89893
174,174.0,321790.94826468924,724830289267367.2,2589695880.756255,14.97039
175,175.0,321790.94826468924,724830289243161.4,2589695880.756255,14.97039
176,176.0,321790.94826468924,724830289234772.8,2589695880.756255,14.97039
177,177.0,321790.94826468924,724830289199735.5,2589695880.756255,14.97039
178,178.0,321790.94826468924,724830289205265.2,2589695880.756255,14.97039
179,179.0,321790.94826468924,724830289368020.0,2589701105.696662,14.97039
180,180.0,321790.94826468924,724830289368020.0,2589713992.4567676,14.97039
