,gen,pA,pB,pD,error
112,112.0,177442.38852656377,696864292445.169,477184.7298525795,42.94946
113,113.0,177442.38852656377,696864292445.169,471161.37695961073,42.94946
114,114.0,177442.38852656377,696864292445.169,474768.4231513942,42.94946
115,115.0,177442.38852656377,696864252682.9525,534642.564866592,42.94946
116,116.0,177442.38852656377,696864255906.606,534642.564866592,42.94946
117,117.0,177442.38852656377,696864264678.1039,534642.564866592,42.94946
118,118.0,177442.38852656377,696864305561.9575,534642.564866592,42.94946
119,119.0,177442.38852656377,696864336023.458,534642.564866592,42.94946
120,120.0,199468.85432137048,696864498778.2494,534642.564866592,24.96825
121,121.0,199282.16797673175,696864498778.2494,534642.564866592,24.96825
122,122.0,194299.07827250205,696864498778.2494,534642.564866592,24.96825
123,123.0,192331.35050193663,696864498778.2494,534642.564866592,24.96825
124,124.0,195875.88657072355,696864498778.2494,534642.564866592,24.96825
125,125.0,217902.35236553027,696864498778.2494,534642.564866592,24.85805
126,126.0,217902.35236553027,696864527145.6897,534642.564866592,24.85805
127,127.0,217902.35236553027,696864547051.9642,534642.564866592,24.85805
128,128.0,217902.35236553027,696864558407.4667,534642.564866592,24.85805
129,129.0,217902.35236553027,696864540230.4393,534642.564866592,24.85805
130,130.0,217902.35236553027,696864549068.6033,534642.564866592,24.85805
131,131.0,217902.35236553027,696864537395.8752,534642.564866592,24.85805
132,132.0,217902.35236553027,696864555782.6656,534642.564866592,24.85805
133,133.0,217902.35236553027,696864562442.1598,534642.564866592,24.85805
134,134.0,217902.35236553027,696864535376.6796,534642.564866592,24.85805
135,135.0,217902.35236553027,696864595245.5486,534642.564866592,24.85805
136,136.0,217902.35236553027,696864596644.1221,534642.564866592,24.85805
137,137.0,217902.35236553027,696864617505.4725,534642.564866592,24.85805
138,138.0,217902.35236553027,696864607961.0505,534642.564866592,24.85805
139,139.0,217902.35236553027,696864528147.8746,534642.564866592,24.85805
140,140.0,217902.35236553027,696864532782.6594,534642.564866592,24.85805
141,141.0,217902.35236553027,696864505752.3916,534642.564866592,24.85805
142,142.0,217902.35236553027,696864436321.016,534642.564866592,24.85805
143,143.0,217902.35236553027,696864469374.3573,534642.564866592,24.85805
144,144.0,217902.35236553027,696864471741.1406,534642.564866592,24.85805
145,145.0,217902.35236553027,696864473944.156,534642.564866592,24.85805
146,146.0,217902.35236553027,696864459899.9677,534642.564866592,24.85805
147,147.0,217902.35236553027,696864429502.5267,534642.564866592,24.85805
148,148.0,217902.35236553027,696864410867.8132,534642.564866592,24.85805
149,149.0,217902.35236553027,696864394496.7874,534642.564866592,24.85805
150,150.0,217902.35236553027,696864374946.341,534642.564866592,24.85805
151,151.0,239928.818160337,696864537701.1323,534642.564866592,22.02532
152,152.0,230730.93953183515,696864537701.1323,534642.564866592,22.02532
153,153.0,235459.3769073002,696864537701.1323,534642.564866592,22.02532
